Category: All categories

Week,facebook: (Worldwide)
2021-11-28,93
2021-12-05,93
2021-12-12,98
2021-12-19,100
2021-12-26,95
2022-01-02,87
2022-01-09,88
2022-01-16,86
2022-01-23,83
2022-01-30,87
2022-02-06,88
2022-02-13,84
2022-02-20,85
2022-02-27,88
2022-03-06,85
2022-03-13,90
2022-03-20,86
2022-03-27,83
2022-04-03,83
2022-04-10,82
2022-04-17,86
2022-04-24,84
2022-05-01,83
2022-05-08,85
2022-05-15,88
2022-05-22,87
2022-05-29,85
2022-06-05,88
2022-06-12,86
2022-06-19,94
2022-06-26,87
2022-07-03,83
2022-07-10,85
2022-07-17,88
2022-07-24,82
2022-07-31,83
2022-08-07,89
2022-08-14,88
2022-08-21,82
2022-08-28,86
2022-09-04,86
2022-09-11,84
2022-09-18,80
2022-09-25,84
2022-10-02,78
2022-10-09,82
2022-10-16,79
2022-10-23,89
2022-10-30,82
2022-11-06,77
2022-11-13,81
2022-11-20,79
